platform,operation,i,tx_hash,gas_used,latency_ms,success,error
Kaleido-EVM,IssueAnchor,27,0x5d287d5461deb52ed56aaaba23569f59e8b6c8d4e6d1d47fe8582295ce418bad,155740,4973,true,
Kaleido-EVM,IssueAnchor,28,0xaf19a57aacfa5332a1fac6b514b75611db53658b842287de1819ab5c46ad5ce4,155740,4981,true,
Kaleido-EVM,Attest,28,0x78e9bebbf66b9845d24dad48ed789f32fc258ae82a7062a835154140a0d748f4,34307,4971,true,
Kaleido-EVM,IssueAnchor,29,0x1ef7976663390f370e5bb319fded86d4f7cb9a16341528f6a50016184499aac2,155740,4973,true,
Kaleido-EVM,IssueAnchor,30,0x1c1ab1f8069e333edd4a20139ac3a5f12cb094ed44971a034c6b89d8df288d8d,155728,4981,true,
Kaleido-EVM,Attest,30,0x3a75a0e32d6270b44e6d6687ac1d6a83a1e25ff36665faf6dce43b8e97cae45a,34307,4973,true,
Kaleido-EVM,Revoke,30,0xbaf624b9e7d94756139efd5eb7a2fe425820570d00c836dbf890c23565bf129b,63469,4975,true,
Kaleido-EVM,IssueAnchor,31,0x889fad29ba6a30c25b3779555dc84e5cb1e13d0a628b8d677e944404bff645fe,155740,4973,true,
Kaleido-EVM,IssueAnchor,32,0xbfb87d7d6181e221bce43dd245f1cce58770ac7f5613fbd183df1408544253c7,155740,4972,true,
Kaleido-EVM,Attest,32,0x316b976663ad7deb836fba6742614d9790233f966f327d304069c588206dc006,34307,4971,true,
Kaleido-EVM,IssueAnchor,33,0x657356ba9e70c4f8d99c059d94fa440b962134c920103cb46b410d3d1bac414e,155740,4975,true,
Kaleido-EVM,IssueAnchor,34,0xcd1642c45eaa3dfe7204205784a3be2b6165668aabcac4caefbf9902a112872a,155740,4992,true,
Kaleido-EVM,Attest,34,0x9bd445e394a64a7034b858d5265747d060a8ba2ba4b00da0b31c7fc4cea26320,34307,4969,true,
Kaleido-EVM,IssueAnchor,35,0xea8652f620ef2f3bae4bc483eb4b0a5d017510e868bfdab6e589f8e4ea436e5d,155740,4975,true,
Kaleido-EVM,IssueAnchor,36,0x3d216f23fb6a21bda6a19b8d0cdabd13fe91f82f557144baaa5332d2b152acd8,155740,4973,true,
Kaleido-EVM,Attest,36,0xadcb06912f062a2cf81a2cfcf9822b635e01d1bc18e0b07986275f02a6bc63cc,34307,4970,true,
Kaleido-EVM,IssueAnchor,37,0x0e68581d7feda8a0e2b5dc9c3bfdd3486531c0522b54f2a6bbc6b33277d61f8e,155740,4972,true,
Kaleido-EVM,IssueAnchor,38,0x76e24de717db2dda165616bce3dba2ce9cf6a8fbfe726af20cf0e42647a755f5,155740,4980,true,
Kaleido-EVM,Attest,38,0x2f2537ed543edf43174e4dec0cb866b8d1e2ba40163f6079860814cd48bbf255,34307,5700,true,
Kaleido-EVM,IssueAnchor,39,0x97f58a91ee454935b1aafb14ae94d53d0fe13b5e3e126c3471bbd64fb7c9b85a,155728,4971,true,
Kaleido-EVM,IssueAnchor,40,0x82137180c5879d512b3bba5448cd80b50743681b754c98d5dc64fa7946192b81,155740,4975,true,
Kaleido-EVM,Attest,40,0x35c8780d1b54ac8458ea2efe7a743bd98f3b0d883c5654adabbc2182b9e2ddd3,34307,4978,true,
Kaleido-EVM,Revoke,40,0xb5a2ae740e3be125d24225c0d41034665d7dbf4898ed41311df67767e6a6c71d,63469,4972,true,
Kaleido-EVM,IssueAnchor,41,0x216f2bc0771bf5b8d3daf112d934f0b013c910632140ddb957c790662e2b406b,155728,4977,true,
Kaleido-EVM,IssueAnchor,42,0x45ee4d4f292a89a4e8eff8ee957c5df5a3bac9e565487734db2752d2bd76cb21,155740,4970,true,
Kaleido-EVM,Attest,42,0xc8b0767e79477c882023631b2925d67d8de1afbf73913336f99c1024eb69cbaa,34307,4969,true,
Kaleido-EVM,IssueAnchor,43,0xaf61d136a4977aa5bfded44f2d0a7287a9aab2ea7045e3cc41c981571330e4e5,155728,4978,true,
Kaleido-EVM,IssueAnchor,44,0xe2823927e8c89b1f5f84d35a7605f3fec9e52987c1885fd0ea901fa7490b517f,155728,4973,true,
Kaleido-EVM,Attest,44,0x5db9351bd4d9452abded8de61f049ce853595696ce0beec9c4ec72e994f9e49f,34307,4970,true,
Kaleido-EVM,IssueAnchor,45,0x4fe88a656ed3db7ce0641c297be24760bc1e5e342f2c02dd586b9f9af8a293e9,155740,4953,true,
Kaleido-EVM,IssueAnchor,46,0xb4e3525c2492c8d4dc0b7e2cb65c0177126c27e7ee05fd307e12ef51648fff15,155728,4936,true,
Kaleido-EVM,Attest,46,0x74e0cd1609d369fb40a8be2481ecf843947b2627ac22cf1c921b36b1c3ca0d9c,34307,4935,true,
Kaleido-EVM,IssueAnchor,47,0x461a2b1b52c4af22a9d4e50f816ea7096142a91ad5c3672a6cde8a82de703dba,155740,4920,true,
Kaleido-EVM,IssueAnchor,48,0x8c308d9eedaa8db7e1b9a43bf65f3be0da12848a7e011805d7ebaadabbf05d8b,155740,4917,true,
Kaleido-EVM,Attest,48,0x2b5c285d39784666af4b93c530e4d291910b8e0fcfd95f8800bd7afa8d7c9fb4,34307,4911,true,
Kaleido-EVM,IssueAnchor,49,0x1c85082937bd10719769309ec1a134e2de9315c1de35b400be51f83e67b756ff,155728,5641,true,
Kaleido-EVM,IssueAnchor,50,0x84063d93ce4dac63759d42b59ad9453331bf21685c6ba3f2861fb9cd08caeae0,155728,4918,true,
Kaleido-EVM,Attest,50,0xcedcf5e1eb7c820b33a93453b07b6ed4df1a1cec4296c137f81cfe5d6e3284b5,34307,4932,true,
Kaleido-EVM,Revoke,50,0xd064583a97c8ecf2eb2c05a3d9e16ffb3802fa35afb7890e0e6a17de1bdf4417,63469,4916,true,
Kaleido-EVM,IssueAnchor,51,0xf533ac620b7983b881e3887ce22434c619b978eb2bc491a84fb2d334c1398547,155740,4914,true,
Kaleido-EVM,IssueAnchor,52,0x222b158f1c97ed3f2e549880d80e4fe6dea4f8ed3f9b11f9076a43079cb28ebe,155740,4917,true,
Kaleido-EVM,Attest,52,0x714301c12c8ef4a5c9fea2ec15e09cbf957be59c6d129d1b024bd22f21aa25f0,34307,4921,true,
Kaleido-EVM,IssueAnchor,53,0xa507d1a7f6ebee2217deadfb73faee151901e946193f28a46cb19ad6b2bcb956,155728,4933,true,
Kaleido-EVM,IssueAnchor,54,0x8f0ef6fba34d77aba3297c6526ea160ef1131257f8de06f808464916b08bb8b0,155740,4915,true,
Kaleido-EVM,Attest,54,0xeb6e1318ed12b1c59f7fa4f2c343460c83d84e9025a7565e1f1d613876adb68e,34307,5637,true,
